x,y,vx,vy,r,t,name
80852806830.92186,70467172192.37135,23867.24143075284,-26063.85208689712,107251101296.10641,7344000,Venus
82850007654.23445,68158674179.334816,23115.750269821623,-26718.727002737727,107283403349.22,7430400,Venus
84780736416.75525,65795498446.50248,22346.397714361065,-27351.570981855726,107316452062.0722,7516800,Venus
86643507439.81203,63379589964.45647,21559.84980389781,-27961.903727384375,107350220332.96156,7603200,Venus
88436893665.10649,60912933365.91407,20756.78501498221,-28549.266186833313,107384680529.27121,7689600,Venus
90159527665.66586,58397551085.34903,19937.893524992793,-29113.22083987313,107419804513.23637,7776000,Venus
91810102592.83867,55835501476.206535,19103.87647190754,-29653.35195766777,107455563667.99731,7862400,Venus
93387373059.09286,53228876908.15512,18255.44521127543,-30169.265833928384,107491928923.90439,7948800,Venus
94890155956.4787,50579801846.798744,17393.32057159527,-30660.590987921005,107528870785.04208,8035200,Venus
96317331210.72047,47890430918.24723,16518.232109279885,-31126.97833971662,107566359355.93915,8121600,Venus
97667842471.00046,45162946960.91379,15630.917364351573,-31568.10135802597,107604364368.4329,8208000,Venus
98940697735.59398,42399559066.87431,14732.121117980516,-31983.656181012433,107642855208.65532,8294400,Venus
100134969913.60808,39602500615.08498,13822.594652940898,-32373.36171052473,107681800944.11034,8380800,Venus
101249797323.16507,36774027298.71254,12903.095018020746,-32736.959680236512,107721170350.81108,8467200,Venus
102284384126.45877,33916415148.78612,11974.384297380717,-33074.21469822244,107760931940.4476,8553600,Venus
103238000702.19316,31031958556.329887,11037.228885814644,-33384.91426453974,107801053987.5553,8640000,Venus
104109983955.99208,28122968295.08393,10092.39877082082,-33668.868764420775,107841504556.65584,8726400,Venus
104899737569.44293,25191769546.865326,9140.666822347885,-33925.91143771535,107882251529.34271,8812800,Venus
105606732188.5082,22240699931.563576,8182.80809103305,-34155.89832525174,107923262631.2842,8899200,Venus
106230505552.10498,19272107543.70457,7219.599115703472,-34358.708192812555,107964505459.11801,8985600,Venus
106770662561.71564,16288348997.454868,6251.817240864002,-34534.24243344564,108005947507.21199,9072000,Venus
107226875292.95038,13291787481.874138,5280.239944846597,-34682.42494885105,108047556194.26678,9158400,Venus
107598882950.03745,10284790828.158028,4305.644179248462,-34803.202010603134,108089298889.73663,9244800,Venus
107886491764.26599,7269729590.5468025,3328.80572023775,-34896.54210198177,108131142940.0462,9331200,Venus
108089574837.45305,4248975142.5072336,2350.498532257562,-34962.435741198715,108173055694.58139,9417600,Venus
108208071931.54745,1224897789.7264786,1371.4941446111902,-35000.895286814295,108215004531.43373,9504000,Venus
108241989205.52132,-1800135098.6125507,392.5610413642163,-35011.95472614617,108256956882.87866,9590400,Venus
108191398900.7332,-4823760938.874421,-585.5359350476197,-34995.66944747535,108298880260.56863,9676800,Venus
108056438975.97682,-7843623761.002796,-1562.036166161817,-34952.1159968562,108340742280.42361,9763200,Venus
107837312693.45485,-10857376014.279778,-2536.1838254858653,-34881.391820335426,108382510687.20181,9849600,Venus
107534288156.93925,-13862680349.62156,-3507.2284318934635,-34783.614992381736,108424153378.7349,9936000,Venus
107147697803.39798,-16857211377.287733,-4474.425388209229,-34658.923931321464,108465638429.81267,10022400,Venus
106677937849.38217,-19838657398.94958,-5437.036504812587,-34507.477102567704,108506934115.70314,10108800,Venus
106125467693.47958,-22804722113.129883,-6394.330508131859,-34329.45271042016,108548008935.29486,10195200,Venus
105490809276.1473,-25753126293.092842,-7345.583533938502,-34125.04837920091,108588831633.84932,10281600,Venus
104774546398.2417,-28681609436.327698,-8290.079605388879,-33894.480824477476,108629371225.35205,10368000,Venus
103977323999.56485,-31587931384.83313,-9227.111095796796,-33637.98551510917,108669597014.45207,10454400,Venus
103099847398.74512,-34469873915.471725,-10155.979176154318,-33355.81632683564,108709478617.97998,10540800,Venus
102142881495.76535,-37325242299.72428,-11075.99424745093,-33048.2451881083,108748985986.03616,10627200,Venus
101107249938.44522,-40151866832.23255,-11986.476357871941,-32715.561718845704,108788089422.64114,10713600,Venus
99993834254.17442,-42947604327.57614,-12886.755604986152,-32358.072862773,108826759605.94133,10800000,Venus
98803572948.18204,-45710339584.784386,-13776.17252305999,-31976.102513984333,108864967607.96393,10886400,Venus
97537460569.61295,-48437986819.13731,-14654.078455660767,-31569.99113834399,108902684913.91624,10972800,Venus
96196546746.66623,-51128491060.86086,-15519.835913735165,-31140.09539031891,108939883441.0248,11059200,Venus
94781935192.03261,-53779829520.37093,-16372.818919370615,-30686.787725811024,108976535556.91165,11145600,Venus
93294782679.84828,-56390012919.76737,-17212.41333546678,-30210.456011532875,109012614097.50548,11232000,Venus
91736297995.36133,-58957086790.32417,-18038.01718156203,-29711.50313144443,109048092384.48672,11318400,Venus
90107740858.4844,-61479132735.76431,-18849.04093607544,-29190.34659074235,109082944242.26689,11404800,Venus
88410420822.38376,-63954269661.14788,-19644.907825238908,-28647.418117865367,109117144014.50308,11491200,Venus
86645696148.22958,-66380654967.23962,-20425.054099006622,-28083.163264950614,109150666580.14984,11577600,Venus
84814972657.20718,-68756485710.25697,-21188.92929424082,-27498.04100714536,109183487369.05034,11664000,Venus
82919702560.86133,-71079999726.9321,-21935.99648548447,-26892.52334114734,109215582377.06917,11750400,Venus
80961383270.81851,-73349476724.8505,-22665.732523643717,-26267.09488331481,109246928180.76743,11836800,Venus
78941556188.90254,-75563239338.056,-23377.62826291637,-25622.2524676564,109277501951.61853,11923200,Venus
76861805478.62875,-77719654147.9361,-24071.188776316965,-24958.50474398266,109307281469.76012,12009600,Venus
74723756819.03069,-79817132669.42383,-24745.933560162823,-24276.371776478452,109336245137.27385,12096000,Venus
72529076141.74048,-81854132302.5738,-25401.396727895848,-23576.38464293958,109364371990.98088,12182400,Venus
70279468352.21185,-83829157249.58987,-26037.12719361828,-22859.085034908105,109391641714.73987,12268800,Venus
67976676035.942184,-85740759397.4019,-26652.688845713725,-22125.024858935514,109418034651.2338,12355200,Venus
65622478150.51976,-87587539165.90839,-27247.66071090765,-21374.76583919545,109443531813.23682,12441600,Venus
63218688704.29377,-89368146322.0191,-27821.637109097144,-20608.879121651855,109468114894.35733,12528000,Venus
60767155422.438126,-91081280759.6477,-28374.227799255175,-19827.944879960713,109491766279.26195,12614400,Venus
58269758401.15555,-92725693245.81607,-28905.058116696517,-19032.55192324496,109514469053.39137,12700800,Venus
55728408750.744026,-94300186133.0405,-29413.769101985217,-18223.297305838278,109536207012.18428,12787200,Venus
53145047228.22341,-95803614038.17458,-29900.017621766376,-17400.785939051893,109556964669.82652,12873600,Venus
50521642860.19473,-97234884487.88524,-30363.476481813435,-16565.63020498458,109576727267.54277,12960000,Venus
47860191556.57891,-98592958530.93822,-30803.834532590492,-15718.449572372378,109595480781.4434,13046400,Venus
45162714715.85546,-99876851317.4675,-31220.79676763251,-14859.870214459228,109613211929.93689,13132800,Venus
42431257822.39574,-101085632645.401,-31614.084415043093,-13990.524628860014,109629908180.71307,13219200,Venus
39667889036.4604,-102218427474.2114,-31983.435022399724,-13111.051259379557,109645557757.30064,13305600,Venus
36874697777.40684,-103274416406.1572,-32328.602535342223,-12222.094119743026,109660149645.19902,13392000,Venus
34053793300.629913,-104252836135.17465,-32649.357370103276,-11324.30241918359,109673673597.58496,13478400,Venus
31207303268.738716,-105152979863.57529,-32945.48648022218,-10418.33018982217,109686120140.59254,13564800,Venus
28337372317.45245,-105974197686.69714,-33216.79341766513,-9504.835915762165,109697480578.16591,13651200,Venus
25446160616.681026,-106715896945.6503,-33463.09838855813,-8584.482163809718,109707746996.48418,13737600,Venus
22535842427.23948,-107377542548.28835,-33684.2383037216,-7657.935215718078,109716912267.95822,13824000,Venus
19608604653.63036,-107958657258.52759,-33880.06682417961,-6725.864701843145,109724970054.79932,13910400,Venus
16666645393.314837,-108458821954.12549,-34050.45440180003,-5788.94323608687,109731914812.16025,13996800,Venus
13712172482.88104,-108877675853.01791,-34195.28831520597,-4847.846051995686,109737741790.84933,14083200,Venus
10747402041.507524,-109214916708.30293,-34314.472701082355,-3903.250639872852,109742447039.61794,14169600,Venus
7774557012.110417,-109470300971.94588,-34407.92858098503,-2955.8363847563205,109746027407.02266,14256000,Venus
4795865700.555006,-109643643927.26718,-34475.59388374319,-2006.2842051076782,109748480542.8627,14342400,Venus
1813560313.3061233,-109734819790.26053,-34517.423463528736,-1055.27619205261,109749804899.19312,14428800,Venus
-1170124506.1131854,-109743761779.77493,-34533.389113649406,-103.49524900937172,109749999730.91478,14515200,Venus
-4152953141.488651,-109670462156.57988,-34523.479576104924,848.3752684611977,109749065095.94157,14601600,Venus
-7132690468.74325,-109514972231.31805,-34487.70054692823,1799.6519127525478,109747001854.94482,14688000,Venus
-10107103320.86337,-109277402341.3357,-34426.07467731621,2749.6515044255066,109743811670.67584,14774400,Venus
-13073961952.557758,-108957921796.36581,-34338.6415705369,3697.691492706879,109739497006.86575,14860800,Venus
-16031041504.281689,-108556758793.02524,-34225.45777458254,4643.090316441772,109734061126.70334,14947200,Venus
-18976123465.25464,-108074200298.07172,-34086.59677052026,5585.167765665829,109727508090.88991,15033600,Venus
-21906997135.094074,-107510591900.35353,-33922.148956474935,6523.245343960547,109719842755.27095,15120000,Venus
-24821461083.6808,-106866337631.37025,-33732.22162716121,7456.646631750813,109711070768.04375,15206400,Venus
-27717324608.8627,-106141899754.34987,-33516.938948864576,8384.697650698865,109701198566.54037,15292800,Venus
-30592409191.59349,-105337798521.73465,-33276.4419297545,9306.72722934288,109690233373.58461,15379200,Venus
-33444549948.09169,-104454611900.95615,-33010.88838539584,10222.067370121507,109678183193.42169,15465600,Venus
-36271597078.59191,-103492975268.36806,-32720.452899308148,11130.053617917749,109665056807.21986,15552000,Venus
-39071417312.24625,-102453581071.19473,-32405.326778406612,12030.025430246737,109650863768.1417,15638400,Venus
-41841895347.71775,-101337178457.34367,-32065.71800314239,12921.326549202131,109635614395.98395,15724800,Venus
-44580935288.99106,-100144572872.92076,-31701.8511721448,13803.305375265116,109619319771.38402,15811200,Venus
-47286462075.90668,-98876625627.27966,-31313.96744115296,14675.315343068207,109601991729.5912,15897600,Venus
-49956422908.90593,-97534253425.42935,-30902.324456009894,15536.715299193454,109583642853.80066,15984000,Venus
-52588788667.452866,-96118427867.61841,-30467.196279478427,16386.86988207102,109564286468.04843,16070400,Venus
-55181555321.57724,-94630174915.91025,-30008.873311624695,17225.149904029582,109543936629.665,16156800,Venus
